Tue May 10 17:22:06 2016 ------- Test Case r009.pl.pl Started -------
*** 2016-05-10 17:22:09 'r009.pl' 39 - navigate2Panel-ISP@MST1 Passed ***
*** 2016-05-10 17:22:09 'r009.pl' 39 - write2CommandLine "PFSHOW OFF" Passed ***
*** 2016-05-10 17:22:10 'r009.pl' 39 - write2CommandLine "tso ex 'QAL.phx.eswauto.CLIST(DELPROF)' 'SYSq'" Passed ***
*** 2016-05-10 17:22:10 'r009.pl' 39 - Delete Profile Members Clist: QAL.phx.eswauto.CLIST(DELPROF) Passed ***
*** 2016-05-10 17:22:10 'r009.pl' 39 - write2CommandLine "TSO PROFILE INTERCOM" Passed ***
*** 2016-05-10 17:22:11 'r009.pl' 39 - write2CommandLine "TSO PROFILE" Passed ***
*** 2016-05-10 17:22:11 'r009.pl' 39 - verifyStringNotFoundOnPanel "NOINTERCOM" Passed ***
*** 2016-05-10 17:22:11 'r009.pl' 39 - pressKey "[ENTER]" Passed ***
*** 2016-05-10 17:22:11 'r009.pl' 44 - write2CommandLine "6" Passed ***
*** 2016-05-10 17:22:11 'r009.pl' 44 - findStringOnPanel "ISRTSO" Passed ***
*** 2016-05-10 17:22:11 'r009.pl' 44 - write2CommandLine "ex 'QAL.PHX.ESW800au.SCNXCLST(VIASPROC)' ' ADD(QAL.PHX.ESW800au.SCNXCLST)'" Passed ***
*** 2016-05-10 17:22:12 'r009.pl' 44 - pressKey "[enter]" Passed ***
*** 2016-05-10 17:22:12 'r009.pl' 44 - write2CommandLine "ex 'QAL.PHX.ESW800au.SCNXCLST(VIASPROC)' ' ADD(QAL.PHX.ESW800au.SESWCLST)'" Passed ***
*** 2016-05-10 17:22:12 'r009.pl' 44 - pressKey "[enter]" Passed ***
*** 2016-05-10 17:22:13 'r009.pl' 46 - write2CommandLine "CENTER" Passed ***
*** 2016-05-10 17:22:14 'r009.pl' 49 - navigate2DropDownList "Test" Passed ***
*** 2016-05-10 17:22:14 'r009.pl' 50 - findStringOnPanel "ASG-ESW - Testing/Debugging" Passed ***
